Frame number,158
First frame,183
Point frequency,100
Analog frequency,200

Time,RHEE,,,RTOE,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,RPelvisAngles,,,RFootProgressAngles,,,LKneeMoment,,,RHipMoment,,,LHipMoment,,,RHipPower,,,RKneePower,,,RAnklePower,,
s,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,W,W,W,W,W,W,W,W,W
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2.16,135.425,198.93,35.2205,181.571,357.323,121.631,36.2001,5.85833,-7.84354,1.27692,-5.40028,-3.90376,4.66093,-0.936372,1.73924,4.6588,0,0,12.9039,0.179448,-5.68293,-116.714,-3.13876,-14.1418,-25.1037,40.1028,-0.784907,571.758,-50.2431,62.3036,13.7503,12.4035,-3.37,0,0,0.219215,0,0,-0.759832,0,0,-0.0124696
2.17,140.384,210.45,33.1154,182.745,369.242,120.819,36.0882,6.04523,-7.38076,1.15027,-5.72756,-5.14572,4.76733,-1.3319,3.55308,4.75816,0,0,12.8497,0.428067,-5.58634,-116.867,-3.12683,-12.8596,-30.8181,40.0603,0.0156924,597.424,-44.1206,66.1606,7.93151,0.850589,-2.15017,0,0,0.0845426,0,0,0.278519,0,0,-0.0207633
2.18,144.93,217.485,30.3885,183.569,377.552,116.843,36.122,6.32463,-6.9478,1.96098,-6.20424,-6.13558,4.81853,-1.64949,5.00439,4.80011,0,0,12.7423,0.718159,-5.50761,-116.206,-3.08349,-11.6622,-37.1577,37.7939,1.15331,595.529,-32.5397,65.4939,-3.90609,-18.014,-0.0651512,0,0,0.0134658,0,0,0.883919,0,0,-0.01619
2.19,148.991,220.904,27.379,184.397,383.028,110.136,36.1888,6.68914,-6.44963,3.43289,-6.7348,-6.8226,4.6814,-1.82935,5.82352,4.6572,0,0,12.5892,1.0496,-5.44965,-114.794,-3.0177,-10.6984,-43.0476,32.9186,2.62283,547.881,-19.8755,58.2243,-23.1494,-44.7732,2.90912,0,0,0.0359265,0,0,0.934846,0,0,0.0019531
2.2,152.429,221.893,24.5778,185.518,386.663,101.491,36.1595,7.1196,-5.78302,5.21337,-7.19653,-7.16467,4.24255,-1.81605,5.76305,4.22106,0,0,12.4026,1.41959,-5.41355,-112.769,-2.93966,-10.1029,-47.4375,25.1833,4.38214,446.829,-10.9545,43.2563,-50.0803,-79.4009,6.73755,0,0,0.127097,0,0,0.589787,0,0,0.0187977
2.21,155.113,221.719,22.4954,187.051,389.499,91.8719,35.9177,7.58889,-4.8701,6.93905,-7.47058,-7.1468,3.45061,-1.58681,4.71842,3.43891,0,0,12.1983,1.8228,-5.39869,-110.33,-2.86607,-9.92524,-49.481,14.5407,6.33006,301.988,-7.83737,22.4058,-83.7611,-121.039,11.319,0,0,0.202477,0,0,0.167634,0,0,0.00938844
2.22,157.012,221.471,21.5076,188.889,392.411,82.2174,35.388,8.06695,-3.68694,8.30739,-7.48182,-6.7884,2.3439,-1.16821,2.8031,2.3411,0,0,11.9936,2.25186,-5.40287,-107.704,-2.8195,-10.0795,-48.9788,1.27501,8.26393,142.193,-7.58602,0.883691,-121.178,-167.782,16.4981,0,0,0.177242,0,0,-0.0715932,0,0,-0.0354254
2.23,158.234,221.846,21.7289,190.721,395.901,73.2674,34.5531,8.52654,-2.27747,9.13759,-7.22512,-6.13465,1.03969,-0.628647,0.325403,1.03968,0,0,11.8054,2.69814,-5.42264,-105.115,-2.81855,-10.3602,-46.3564,-13.9027,9.83644,4.26846,-6.85452,-14.9294,-157.72,-216.39,22.0119,0,0,0.0449608,0,0,-0.0801212,0,0,-0.0910906
2.24,158.993,223.058,22.9759,192.152,399.999,65.4667,33.457,8.94887,-0.750055,9.40359,-6.76126,-5.23896,-0.306849,-0.0518408,-2.32443,-0.306579,0,0,11.6478,3.15231,-5.45343,-102.732,-2.8666,-10.5302,-42.5394,-29.966,10.5337,-93.0512,-6.82851,-21.3255,-187.98,-262.884,27.4708,0,0,-0.129711,0,0,0.00894772,0,0,-0.119359
2.25,159.524,224.919,24.8561,192.882,404.348,58.9695,32.1921,9.32828,0.742305,9.22327,-6.18695,-4.16091,-1.54479,0.489388,-4.80182,-1.53937,0,0,11.5302,3.60509,-5.48977,-100.653,-2.94756,-10.4305,-38.4966,-45.8764,9.75075,-160.818,-8.91715,-19.4044,-207.362,-303.204,32.4123,0,0,-0.295347,0,0,0.0575813,0,0,-0.104968
