Frame number,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First frame,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point frequency,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analog frequency,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,RHEE,,,RTOE,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,RPelvisAngles,,,RFootProgressAngles,,,RAnkleMoment,,,RKneeMoment,,,RHipMoment,,,RHipPower,,,RKneePower,,,RAnklePower,,
s,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,W,W,W,W,W,W,W,W,W
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
4.24,134.317,241.909,27.1612,171.435,420.325,54.5567,28.7542,5.43683,-2.10991,3.60823,-4.87733,-7.77159,-6.55858,-0.220578,-1.5498,-6.55617,0,0,9.98597,2.39007,-1.31887,-98.7423,-0.720681,-11.4271,-45.6823,3.42E-15,-0.925407,41.1751,-11.262,-0.885756,-128.381,-22.252,-4.11996,0,0,-0.15412,0,0,0.00361435,0,0,-0.142434
4.25,134.504,243.132,28.8429,171.628,424.116,47.9389,27.9612,5.99382,-1.21792,3.56772,-4.63395,-8.3768,-8.14669,-0.104641,-2.08212,-8.14126,0,0,10.0344,2.90153,-1.2285,-96.3445,-0.322519,-11.3704,-50.8632,-1.45E-15,-0.52191,47.6694,0.372016,-0.68656,-123.054,-1.20706,-4.9364,0,0,-0.165736,0,0,-0.000898655,0,0,-0.108715
4.26,134.701,244.28,30.3681,171.693,427.25,43.1661,27.1602,6.61139,-0.411774,3.53288,-4.38551,-8.88428,-9.05786,0.000236658,-2.56335,-9.0487,0,0,10.0769,3.44184,-1.18946,-94.6101,-0.0265475,-11.2709,-49.6681,8.54E-16,0.371413,38.6983,10.805,0.0168674,-93.7374,12.1419,-3.80005,0,0,-0.141071,0,0,-0.00551495,0,0,-0.0528772
4.27,134.957,245.291,31.6018,171.695,429.586,40.1853,26.3565,7.27578,0.287107,3.52186,-4.14203,-9.24751,-9.31799,0.0995219,-3.01858,-9.30494,0,0,10.1117,4.00134,-1.19623,-93.5039,0.171717,-11.1443,-43.9004,2.13E-15,1.25094,23.7214,17.7095,0.784859,-55.9591,16.0097,-2.00932,0,0,-0.0952905,0,0,-0.0083745,0,0,-0.00313907
4.28,135.295,246.096,32.4796,171.692,431.088,38.7017,25.5531,7.97,0.867514,3.54489,-3.91119,-9.44055,-9.04019,0.197303,-3.46653,-9.02351,0,0,10.1384,4.56811,-1.24013,-92.9072,0.290613,-11.0036,-35.8519,5.52E-15,1.90306,11.1873,20.5092,1.4168,-23.552,12.0356,-0.475873,0,0,-0.047051,0,0,-0.00876501,0,0,0.0261669
4.29,135.71,246.654,33.0038,171.734,431.84,38.2946,24.7501,8.67422,1.3285,3.59913,-3.69812,-9.46213,-8.37905,0.295813,-3.91739,-8.35933,0,0,10.1573,5.12832,-1.30973,-92.6687,0.35561,-10.8606,-27.5303,3.23E-15,2.19296,5.26137,19.1724,1.75472,-3.73472,1.70731,0.374947,0,0,-0.00740928,0,0,-0.00760753,0,0,0.0355584
4.3,136.178,246.962,33.2259,171.853,432.013,38.5296,23.9461,9.36645,1.67702,3.67034,-3.50533,-9.33248,-7.49102,0.395468,-4.37297,-7.46909,0,0,10.1697,5.66666,-1.3916,-92.6434,0.392943,-10.7269,-20.3602,3.33E-15,2.05783,6.18807,14.1295,1.69836,2.24812,-13.8934,0.502156,0,0,0.0196756,0,0,-0.00597584,0,0,0.0328929
4.31,136.664,247.052,33.2231,172.05,431.816,39.0413,23.1393,10.024,1.92394,3.73878,-3.33313,-9.08643,-6.50672,0.49445,-4.82492,-6.48356,0,0,10.1772,6.16717,-1.47137,-92.7164,0.425424,-10.6115,-15.0924,4.76E-16,1.63644,12.7013,6.96829,1.35245,-4.88568,-32.0577,0.104004,0,0,0.0296429,0,0,-0.00431905,0,0,0.0262101
4.32,137.123,246.977,33.0775,172.305,431.44,39.5752,22.3294,10.6253,2.08019,3.78561,-3.18066,-8.76781,-5.51861,0.588593,-5.25421,-5.49534,0,0,10.1815,6.6143,-1.53506,-92.8108,0.470602,-10.5198,-11.8764,-2.22E-16,1.1595,22.1907,-0.338825,0.927936,-21.3975,-49.7994,-0.493789,0,0,0.0218387,0,0,-0.00229378,0,0,0.0203132
4.33,137.519,246.796,32.86,172.587,431.033,39.992,21.5187,11.152,2.1546,3.79766,-3.04694,-8.42374,-4.58056,0.67242,-5.63594,-4.55836,0,0,10.1843,6.99402,-1.57042,-92.8855,0.539657,-10.4565,-10.4063,9.28E-16,0.794683,31.8576,-6.36379,0.588673,-42.533,-64.9715,-1.02647,0,0,-0.000390599,0,0,0.000463522,0,0,0.0166788
4.34,137.821,246.563,32.6234,172.874,430.683,40.2453,20.7119,11.5902,2.15325,3.76987,-2.93152,-8.09874,-3.71454,0.740482,-5.94551,-3.6945,0,0,10.1867,7.29515,-1.56815,-92.9258,0.637435,-10.4266,-10.1569,7.63E-16,0.585987,39.392,-10.5152,0.385516,-63.2986,-76.624,-1.36201,0,0,-0.030066,0,0,0.00368941,0,0,0.0149433
4.35,138.014,246.32,32.4001,173.15,430.423,40.3504,19.9147,11.9323,2.08061,3.70526,-2.83466,-7.82976,-2.92066,0.788405,-6.16327,-2.90375,0,0,10.1891,7.51039,-1.52272,-92.9335,0.763361,-10.4352,-10.5802,-2.13E-16,0.484421,43.4348,-12.8191,0.280444,-79.6415,-84.5666,-1.49191,0,0,-0.0594722,0,0,0.00654281,0,0,0.0142642
4.36,138.095,246.094,32.2054,173.41,430.246,40.3514,19.1327,12.1769,1.94188,3.61259,-2.75723,-7.64281,-2.18753,0.813577,-6.27758,-2.17441,0,0,10.1915,7.63703,-1.43275,-92.9169,0.912734,-10.4857,-11.227,1.31E-15,0.398753,43.7563,-13.6189,0.192247,-89.3005,-88.9237,-1.49351,0,0,-0.0828499,0,0,0.00820068,0,0,0.0139912
4.37,138.073,245.897,32.042,173.655,430.125,40.2965,18.3696,12.3287,1.74543,3.50327,-2.70029,-7.55157,-1.50071,0.815442,-6.28604,-1.49166,0,0,10.1934,7.67715,-1.30098,-92.8846,1.07808,-10.5772,-11.8232,-1.52E-16,0.271867,40.7848,-13.2439,0.0696297,-91.2608,-89.8009,-1.43889,0,0,-0.0966202,0,0,0.00830395,0,0,0.0138267
4.38,137.963,245.73,31.906,173.886,430.031,40.2233,17.627,12.3976,1.50397,3.3885,-2.66469,-7.55748,-0.847345,0.795598,-6.19594,-0.842402,0,0,10.1941,7.63729,-1.13379,-92.8426,1.25032,-10.7046,-12.2434,-1.38E-15,0.0800497,35.8182,-12.0498,-0.109493,-87.2626,-87.4322,-1.40301,0,0,-0.101467,0,0,0.00715909,0,0,0.0136807
